username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2016-12-31 06:07;0;0;"# Malaysiagazette Gempa bumi sederhana di Pulau Sumbawa http://malaysiagazette.com/v2/blog/2016/12/30/gempa-bumi-sederhana-di-pulau-sumbawa/ … via @ MalaysiaGazette";;@;#;"814971174342062080";https://twitter.com/MalaysiaGazette/status/814971174342062080
;2016-12-31 05:51;0;0;"@ mi_ChristyChiBi kamu itu kayak lempengan bumi ya, geser dikit aja bisa gempa.in hati aku.";;@;;"814967088649408513";https://twitter.com/Dinakici/status/814967088649408513
;2016-12-31 05:26;0;0;"Gempa tidak hanya terjadi di bumi, di bulan pun mengalami adanya gempa.";;;;"814960933457960960";https://twitter.com/Cyborg_JKT48/status/814960933457960960
;2016-12-31 04:38;0;0;"kamu itu kayak lempengan bumi ya, geser dikit aja bisa gempa.in hati aku.";;;;"814948850792153088";https://twitter.com/PlanetKepo/status/814948850792153088
;2016-12-31 00:58;0;0;"hhhhh emng mo perang atau gempa bumi kok gwt";;;;"814893343540842496";https://twitter.com/Ratmangondhez1/status/814893343540842496
;2016-12-31 00:44;1;1;"Homoseista = garis khayal pada permukaan bumi yang mencatat gelombang gempa primer pada waktu yang sama # IPS";;;#;"814889851388428289";https://twitter.com/_AnakIPS/status/814889851388428289
;2016-12-31 00:14;0;0;"Episentrum = tempat di permukaan bumi/permukaan laut yang tepat di atas hiposentrum. Pusat gempa di permukaan bumi # IPS";;;#;"814882242027606016";https://twitter.com/_AnakIPS/status/814882242027606016
;2016-12-30 23:56;4;8;"# 12tahuntsunamiaceh Semoga Korban Gempa bumi dan Tsunami di Aceh 2004 silam diterima Amal ibadah oleh Allah Swt yang sudah meninggal dunia.";;;#;"814877729040388096";https://twitter.com/AldiAceh97/status/814877729040388096
;2016-12-30 23:44;0;1;"Hiposentrum = pusat gempa di dalam bumi # IPS";;;#;"814874758130987008";https://twitter.com/_AnakIPS/status/814874758130987008
;2016-12-30 23:36;0;0;"Ngengat tidak bisa terbang pada saat gempabumi.";;;;"814872760015065089";https://twitter.com/Indhiksa/status/814872760015065089
;2016-12-30 23:02;0;0;"BMKG: Info Gempa Bumi Susulan dan Tsunami di Bima, HOAX http://kahaba.net/berita-bima/39255/bmkg-info-gempa-bumi-susulan-dan-tsunami-bima-hoax.html … lewat @ kahabanews";;@;;"814864163679846400";https://twitter.com/sunyise14717456/status/814864163679846400
;2016-12-30 22:41;0;0;"Benarkah akan ada gempa susulan d daerah indonedia timur termasuk bima dan sekitarnya. Semoga semuanya baik2 ja # gempaBumi";;;#;"814858913883553793";https://twitter.com/MisnahD4r4by/status/814858913883553793
;2016-12-30 22:14;0;0;"Seismologi = ilmu yang mempelajari gempa bumi # IPS";;;#;"814852048151678976";https://twitter.com/_AnakIPS/status/814852048151678976
;2016-12-30 22:10;0;0;"kamu itu kayak lempengan bumi ya, bergeser dikit aja bisa gempa hati aku";;;;"814851087710715904";https://twitter.com/elenaplix/status/814851087710715904
;2016-12-30 21:46;0;0;"BMKG: Info Gempa Bumi Susulan dan Tsunami di Bima, HOAX - Kabar Harian Bima http://ift.tt/2hzvpt4";;;;"814845121481048068";https://twitter.com/cochesvoladores/status/814845121481048068
;2016-12-30 21:44;0;0;"Semut bisa merasakan gempa sehari sblm gempa baik dgn mngambil emisi gas mengubah atau mencatat perubahan kecil pd medan magnet bumi.";;;;"814844503345471488";https://twitter.com/ratufebri/status/814844503345471488
;2016-12-30 20:16;0;0;"Org laen kalo ping!aku di bbm cuma hpny yg geter kalo kamu yg ping, Cinta aku yan geter kaya gempa bumi @ Teens_Yori";;@;;"814822472373538816";https://twitter.com/YoriversFAMS_/status/814822472373538816
;2016-12-30 20:12;0;0;"hehehe jgn ckp kuat2. Nnti gempa bumi";;;;"814821338414092288";https://twitter.com/ammad97/status/814821338414092288
;2016-12-30 20:09;0;0;"@LICKJIWOO kamuitukayaklempenganbumiya,geserdikitajabisagempa'inhatiaku.";;@LICKJIWOO;;"814820830240587776";https://twitter.com/kriswufanex/status/814820830240587776
;2016-12-30 19:46;0;0;"Penghujung Tahun 2016: Gempa 6,5SR Guncang Bumi Aceh http://nusantaranews.co/penghujung-tahun-2016-gempa-65sr-guncang-bumi-aceh/ …";;;;"814814938032001024";https://twitter.com/PerakBulan/status/814814938032001024
;2016-12-30 19:45;0;0;"Selama Tahun 2016, di Wilayah Provinsi Sumatera Barat Telah Terjadi 195 Kali Gempa Bumi https://goo.gl/XvJRz6";;;;"814814788467331072";https://twitter.com/RRI/status/814814788467331072
;2016-12-30 19:08;0;0;"kamu itu kayak lempengan bumi ya, geser dikit aja bisa gempa.in hati aku.";;;;"814805393763221504";https://twitter.com/Denggung/status/814805393763221504
;2016-12-30 19:00;0;0;"Gempa memang bisa menggoyahkan bumi. Tapi, gempa gak akan bisa menggoyahkan cintaku ke kamu";;;;"814803341159047168";https://twitter.com/UjiKejujuran/status/814803341159047168
;2016-12-30 18:54;0;0;"kamu itu kaya lempeng bumi ya,begeser sedikit aja bisa gempa hatiku";;;;"814801828122652672";https://twitter.com/steppheen/status/814801828122652672
;2016-12-30 18:34;0;0;"Info Minangkabau KALEIDOSKOP GEMPA BUMI SUMBAR : SEPANJANG TAHUN 2016 TELAH TERJADI 195 KALI: KEJADIAN… http://dlvr.it/N0LsMJ Baca...pic.twitter.com/eXQPilIZCy";;;;"814796731955060740";https://twitter.com/pasbana_com/status/814796731955060740
;2016-12-30 18:30;0;0;"Aceh Kembali Berduka! Mari bantu para korban gempa bumi di http://bit.ly/2h8VZdo via BAZNAS. # KebangkitanZakatpic.twitter.com/WVVQvfLlGP";;;#;"814795686503940096";https://twitter.com/baznasindonesia/status/814795686503940096
;2016-12-30 18:15;0;0;"Gempa Hari Ini di Sumba NTT 6.6 SR, Terasa Hingga Bali dan Bima http://dlvr.it/N0LYsF # Nasional # GempaBumi # gempahariinipic.twitter.com/hCgg0u5xfi";;;# # #;"814792068966977537";https://twitter.com/HorasSumutNews6/status/814792068966977537
